0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Turkic_Probability,Prediction
Altaian,0.056601,-0.290764,0.071893,-0.004463,-0.063089,-0.025227,0.012018,0.014349,-0.000418,0.00082,-0.016224,-0.002071,-0.000581,-0.014069,0.002616,0.002001,-0.002667,-0.002033,0.011484,0.015263,-0.026521,0.000843,-0.013036,-0.004919,-0.002384,0,Turkic
Altaian_Kizhi,0.054445,-0.299751,0.072009,-0.006801,-0.060746,-0.025147,0.012416,0.016986,0.000341,-0.000284,-0.012459,-0.001007,-0.00114,-0.014229,0.000528,0.003057,-0.000688,0.001168,0.009295,0.016223,-0.029351,0.000034,-0.011421,-0.003555,-0.002082,0,Turkic
Altaian_Kizhi_o,0.080814,-0.192951,0.070899,0.009367,-0.044316,-0.011435,0.012691,0.013153,-0.001636,-0.00656,-0.013316,-0.005245,0.000595,-0.0139,0.010043,0.01127,0.000261,-0.00266,-0.000754,0.009379,-0.022835,0.005812,-0.006532,-0.001928,-0.005987,0,Turkic
Azerbaijani_Dagestan,0.100821,0.09503,-0.040657,-0.019753,-0.036255,0.001244,0.004022,-0.00537,-0.039347,-0.019282,-0.00198,0.002801,-0.004923,-0.003673,0.005658,0.000872,-0.001866,-0.000784,-0.00147,-0.00227,-0.000226,-0.001817,0.000493,0.001719,0.001898,0,Turkic
Azerbaijani_Iran_Ardabil,0.091996,0.087276,-0.049647,-0.039007,-0.036568,-0.004397,0.004907,-0.003652,-0.0266,-0.010613,-0.000267,-0.000635,0.0007,-0.000672,0.000399,0.003931,-0.004149,0.001654,0.002795,-0.005341,0.000514,-0.001571,-0.001885,-0.002779,0.001733,0,Turkic
Azerbaijani_Iran_EastAz,0.094018,0.08632,-0.048875,-0.035207,-0.036438,-0.007642,0.005875,-0.000969,-0.028183,-0.004119,0.000715,-0.00045,0.001606,0.000908,0.001819,0.00358,-0.006519,0.001723,0.00083,-0.005903,-0.003893,-0.001335,0.000739,-0.004266,0.002227,0,Turkic
Azerbaijani_Iran_WestAz_Maku,0.092197,0.086828,-0.046009,-0.033269,-0.038623,-0.007251,0.00141,-0.008192,-0.02577,-0.007563,-0.005278,0.001274,0.004162,-0.011836,-0.002036,0,-0.005998,-0.003547,0.004588,0.002501,0.001123,-0.002844,-0.004437,-0.000181,0.003293,0,Turkic
Azerbaijani_Republic_Agjabedi,0.092197,0.089367,-0.048774,-0.040591,-0.034912,-0.006384,0.004073,-0.00359,-0.028997,-0.009152,-0.004186,-0.000932,0.001701,-0.002125,0.002684,0.006467,-0.00055,0.00107,0.001774,-0.003974,-0.001262,0.000234,-0.001287,-0.000817,0.000612,0,Turkic
Azerbaijani_Republic_Gabala,0.098322,0.097733,-0.045667,-0.033177,-0.03542,-0.004768,0.005114,-0.004209,-0.034068,-0.014605,-0.001786,0.001178,-0.00349,-0.001409,0.001596,0.001604,0.000192,-0.000054,0.002586,-0.002811,-0.000416,0.00013,-0.000434,-0.000476,0.000787,0,Turkic
Azerbaijani_Republic_Shaki,0.100449,0.107011,-0.046009,-0.036863,-0.032237,-0.00617,0.00329,-0.005279,-0.035178,-0.013759,-0.000264,0.002323,-0.004218,-0.000602,0.000696,-0.002552,0.000489,0,-0.002043,-0.001094,0.000546,-0.001267,0.000169,-0.000241,0.003742,0,Turkic
Azerbaijani_Turkey,0.094852,0.096813,-0.047894,-0.038114,-0.036417,-0.006414,0.004308,-0.005154,-0.025702,-0.00814,-0.002544,0.0001,-0.000248,0.002752,0.000362,-0.006718,-0.012734,0.005659,0.005489,-0.005669,0.00025,0.000618,-0.002177,-0.002812,0.002355,0,Turkic
Balkar,0.108782,0.08719,-0.022681,-0.018088,-0.032226,-0.000359,0.008897,-0.002901,-0.055251,-0.026138,-0.004036,0.00957,-0.016247,0.003382,0.006728,-0.017975,0.004508,-0.004235,-0.009948,0.014436,0.006328,0.001784,0.000669,-0.005285,-0.003644,0,Turkic
Bashkir,0.090508,-0.102306,0.06366,0.031758,-0.036166,-0.002987,0.008642,0.011166,-0.00764,-0.020081,0.00296,-0.004037,0.00985,-0.019303,-0.00503,-0.003007,-0.002616,-0.001063,-0.003301,-0.002562,-0.008348,0.0015,-0.002242,0.001376,-0.00185,0,Turkic
Chuvash,0.109523,-0.013992,0.08238,0.055305,-0.014328,0.00595,0.013709,0.016538,-0.009772,-0.034382,0.01826,-0.011373,0.025983,-0.023243,-0.026179,-0.017104,-0.001724,-0.005152,-0.025461,-0.022177,0.007847,0.003325,-0.03262,0.006092,-0.001504,0,Turkic
Dolgan,0.054331,-0.337562,0.119673,-0.00112,-0.112062,-0.06355,0.025726,0.036506,0.022402,0.012854,0.051401,0.008412,-0.007334,0.019249,0.003302,0.002006,0.003946,0.001199,-0.001265,-0.008246,0.025022,-0.004987,0.012177,0.001856,0.003377,0,Turkic
Gagauz,0.121664,0.134388,0.020029,-0.002907,0.019559,0.001333,0.006867,0.004692,-0.003636,0.003624,-0.001642,-0.002081,-0.00147,0.010123,-0.01045,-0.004744,0.003433,-0.000267,0.003603,-0.002904,-0.006489,-0.000934,0.003684,-0.004927,0.000067,0,Turkic
Karachay,0.105855,0.082723,-0.026571,-0.01689,-0.033686,-0.001429,0.00803,-0.000837,-0.04837,-0.023683,-0.004412,0.007225,-0.017678,0.001233,0.004705,-0.017027,0.006199,-0.004065,-0.008123,0.014846,0.004586,0.001345,0.000216,-0.006437,-0.001656,0,Turkic
Karakalpak,0.069313,-0.182689,0.040927,-0.005746,-0.034695,-0.01095,0.011045,0.011076,-0.006147,-0.003712,-0.019991,-0.002256,0.001025,-0.002463,0.001907,0.001298,-0.00057,-0.000807,0.000999,0.006957,-0.011795,-0.004165,-0.008673,0.001357,-0.000132,0,Turkic
Kazakh,0.065808,-0.222027,0.046306,-0.008186,-0.036703,-0.014635,0.011163,0.012425,-0.0045,-0.000724,-0.022546,-0.002552,0.000974,-0.000456,0.001682,0.001734,-0.002505,-0.00055,0.001624,0.007497,-0.011847,-0.005138,-0.00987,-0.000282,0.000006,0,Turkic
Kazakh_China,0.053355,-0.283206,0.048931,-0.013849,-0.036545,-0.01635,0.012103,0.013586,-0.003119,-0.001731,-0.030448,-0.001536,-0.000279,-0.002924,0.005497,-0.000249,-0.001972,0.00019,0.002105,0.008363,-0.012166,-0.001886,-0.008165,-0.002952,0.000449,0,Turkic
Kazakh_Xinjiang,0.062717,-0.24129,0.047932,-0.009787,-0.03893,-0.014809,0.010787,0.014122,-0.007015,0.001021,-0.024602,-0.001499,0.000297,-0.000014,0.000964,0.004428,0.001969,0.000266,0.004814,0.006641,-0.01123,-0.00481,-0.009712,-0.000699,-0.001209,0,Turkic
Khakass,0.06458,-0.248911,0.07733,0.014314,-0.060627,-0.01939,0.006605,0.009267,-0.001432,-0.01197,-0.004393,-0.003202,0.002778,-0.021846,0.006422,-0.001012,-0.00969,-0.00004,0.006781,0.010683,-0.031484,0.007087,-0.004515,-0.002334,-0.005149,0,Turkic
Khakass_Kachins,0.059188,-0.287104,0.078333,0.000554,-0.064935,-0.028925,0.012523,0.016318,0.001782,-0.000599,-0.007702,-0.00349,0.003058,-0.012819,0.000969,0.003466,0.001937,-0.003203,0.004202,0.010916,-0.020339,0.006607,-0.005212,-0.001566,-0.006894,0,Turkic
Kirghiz,0.059947,-0.259298,0.0489,-0.012956,-0.038948,-0.014905,0.010758,0.011358,-0.006249,0.001762,-0.027949,-0.001649,0.001239,-0.003945,0.0019,-0.001488,-0.002347,0.001746,0.003659,0.009421,-0.013851,-0.007048,-0.011133,-0.001526,0.002355,0,Turkic
Kirghiz_China,0.059188,-0.260835,0.042644,-0.010336,-0.038303,-0.013537,0.011425,0.013491,-0.003241,0.001079,-0.02953,-0.003032,0.00255,-0.004235,0.005794,0.002784,-0.004263,0.001637,0.003781,0.005705,-0.01242,-0.004956,-0.009699,-0.000538,0.000691,0,Turkic
Kirghiz_Tajikistan_Pamir,0.059473,-0.24068,0.040918,-0.008963,-0.041931,-0.01018,0.015628,0.016153,-0.005266,-0.00123,-0.032762,-0.002023,0.001152,-0.004851,0.001493,0.002353,0.002738,-0.00076,0.003362,0.009848,-0.013851,-0.001453,-0.012294,-0.001898,0.002904,0,Turkic
Kumyk,0.106074,0.090382,-0.027066,-0.010684,-0.03261,0.001727,0.008668,-0.002609,-0.044917,-0.025071,-0.002761,0.005355,-0.009394,-0.000275,0.005585,-0.005554,0.000998,-0.001272,-0.004167,0.006017,0.000821,0.001355,0.003731,0.002767,-0.001423,0,Turkic
Nogai,0.074521,-0.165353,0.042082,-0.004294,-0.029091,-0.011287,0.009884,0.011809,-0.009432,-0.004116,-0.020165,-0.002468,0.001207,-0.002518,0.002092,-0.000702,0.001173,-0.000067,-0.000089,0.005098,-0.009021,-0.00208,-0.009403,0.001389,-0.001423,0,Turkic
Nogai_Dobruja,0.0774,-0.144205,0.039975,0.002584,-0.018773,-0.013108,0.00564,0.012923,-0.009613,-0.001822,-0.013478,0.003297,0.000595,0.001651,-0.001493,-0.000398,-0.005476,0.000127,-0.002388,0.005878,-0.011979,-0.009398,-0.006039,-0.007832,0.003233,0,Turkic
Salar,0.034247,-0.369831,0.00457,-0.045477,0.029399,0.014937,0.005274,0.002918,-0.010918,0.001227,-0.060814,-0.007388,0.007831,-0.005812,-0.004934,0.000897,0.001219,0.001435,-0.003508,-0.004969,0.003813,0.009518,0.008624,-0.000021,0.010147,0,Turkic
Tatar_Crimean_steppe,0.094473,-0.0556,0.038089,0.00751,-0.008309,0.002022,0.006874,0.010269,-0.006238,-0.004875,-0.011489,-0.002061,0.002825,0.006571,-0.004106,0.005834,0.01017,-0.003706,0.001446,0.004127,-0.00627,0.000433,-0.002064,0.002259,0.003443,0,Turkic
Tatar_Kazan,0.10927,0.010702,0.061413,0.044028,-0.005847,0.009461,0.008171,0.010988,-0.007457,-0.021938,0.002561,-0.006848,0.012922,-0.007315,-0.009438,-0.003672,0.001534,0.000195,-0.007261,-0.004242,-0.000163,0.000904,-0.006845,0.000853,-0.000111,0,Turkic
Tatar_Lipka,0.103769,-0.024711,0.046889,0.022126,-0.003077,0.004741,0.009205,0.0085,-0.01009,-0.014154,-0.008471,-0.005046,0.007384,0.009634,-0.002647,-0.007403,-0.006085,-0.000739,0.001404,0.000146,-0.00678,-0.002762,-0.001007,-0.002129,0.001756,0,Turkic
Tatar_Mishar,0.116213,0.03727,0.064488,0.047869,0.008894,0.015283,0.009001,0.013292,-0.006524,-0.018934,-0.000715,-0.005755,0.015342,0.005051,-0.009215,-0.005078,-0.004707,-0.002318,-0.003293,-0.002514,-0.000624,-0.001138,-0.004745,-0.001325,0.000671,0,Turkic
Tatar_Siberian,0.082911,-0.137257,0.065361,0.026248,-0.043927,-0.009526,0.007669,0.009243,-0.006782,-0.017696,0.002556,-0.003778,0.010993,-0.020325,-0.006857,-0.001619,-0.002093,-0.000347,-0.000708,0.000606,-0.007533,0.003645,-0.00312,-0.000051,-0.000366,0,Turkic
Tatar_Siberian_Zabolotniye,0.08127,-0.159844,0.089906,0.047998,-0.061673,-0.013498,0.011845,0.016061,-0.004418,-0.026133,0.026827,-0.005515,0.015282,-0.046159,-0.012188,-0.009361,-0.005346,0.000253,-0.002137,-0.005253,-0.004567,0.013256,0.00737,-0.005495,-0.005221,0,Turkic
Tat_Azerbaijan,0.101303,0.101723,-0.044752,-0.024656,-0.038879,-0.001302,0.006306,-0.002269,-0.037257,-0.018892,0.000433,0.002198,-0.006095,-0.001262,0.00509,-0.000619,-0.006258,0.00019,0.000859,-0.002001,-0.000062,-0.002391,-0.000616,0.003394,0.003932,0,Turkic
Tat_Dagestan_Dzhalgan,0.105021,0.099048,-0.034846,-0.00786,-0.035781,0.004741,0.007238,-0.006092,-0.045691,-0.027724,-0.000054,0.001848,-0.002755,-0.007248,0.011636,0.000433,-0.002277,0.000203,0.000235,-0.00336,-0.000832,-0.000058,0.00106,0.004137,0.000255,0,Turkic
Tat_Dagestan_Nyugdi,0.099814,0.089288,-0.044268,-0.02661,-0.034847,-0.000815,0.003814,-0.0041,-0.032724,-0.016079,-0.001986,0.003205,-0.004437,-0.002488,0.001221,0.002274,-0.002909,0.002037,0.000696,-0.007292,0.000518,-0.003205,-0.001128,-0.001224,0.00105,0,Turkic
Turkish_Ahiska,0.111547,0.12931,-0.051917,-0.048558,-0.033339,-0.009947,0.005013,-0.006615,-0.050313,-0.015369,0.001624,0.01134,-0.015956,0.004587,-0.000091,-0.015204,0.00691,-0.002914,-0.006913,0.008254,0.004534,0.001566,-0.000698,-0.006065,-0.002634,0,Turkic
Turkish_Antalya,0.095611,0.048644,-0.012181,-0.031331,-0.020588,-0.009817,0.00698,0.000715,-0.012067,0.002387,-0.000276,0.001843,-0.000178,0.000716,-0.005442,0.001671,-0.0006,-0.000532,0.002489,-0.001726,-0.003781,0.000272,-0.002428,-0.000277,0.001772,0,Turkic
Turkish_Aydin,0.094799,0.061077,-0.012391,-0.036084,-0.019828,-0.014343,0.003458,-0.000923,-0.017005,-0.001692,-0.001531,-0.000235,-0.004502,0.004994,-0.005913,0.001477,0.002943,0.000452,0.001257,-0.001429,-0.00344,-0.002773,-0.003733,-0.000895,-0.001557,0,Turkic
Turkish_Balikesir,0.098213,0.056579,-0.008997,-0.027363,-0.018025,-0.012391,0.007554,0.003527,-0.016391,0.003202,-0.001299,0.003447,-0.003271,0.002536,-0.000077,-0.00125,-0.001583,0.001104,0.003879,-0.001679,-0.004742,-0.000124,-0.000264,-0.000293,-0.000291,0,Turkic
Turkish_Canakkale_Europe,0.102441,0.101553,0.000377,-0.016473,-0.000615,-0.001673,0.00893,-0.000923,-0.008795,0.009841,-0.00406,-0.005995,0.001784,0.006331,-0.012215,0.012331,0.016428,-0.000507,0.002891,0.001,-0.011105,-0.001113,0.004437,-0.001807,-0.000599,0,Turkic
Turkish_Chitak,0.106994,0.110693,0.018102,-0.011628,0.012002,-0.006693,0.003055,0.005307,-0.011044,-0.001276,0.003248,0.003897,0.004162,0.007707,-0.009908,0.00716,0.009127,0.004561,0.009553,0.01063,-0.006489,0.006554,0.011216,0.00241,-0.000958,0,Turkic
Turkish_Crete,0.108587,0.142987,-0.015009,-0.04367,0.007571,-0.014168,0.001739,-0.001985,-0.001186,0.015782,0.002014,0.002428,-0.000684,0.003248,-0.014332,-0.002678,0.002973,0.000456,0.004148,-0.003126,-0.004667,0.002325,-0.000222,0.001807,-0.000742,0,Turkic
Turkish_Deliorman,0.112159,0.100381,0.01874,-0.00164,0.008877,-0.000472,0.006183,0.005876,-0.006104,-0.000491,-0.000912,-0.002202,0.002733,0.008723,-0.008989,-0.002315,0.003601,0.003508,0.001992,-0.002876,-0.004857,0.000304,-0.000939,0.000204,0.000405,0,Turkic
Turkish_Denizli,0.094636,0.060932,-0.016001,-0.031424,-0.021631,-0.012032,0.004096,-0.000593,-0.017151,0.002343,-0.001508,0.001413,-0.002039,0.000197,-0.007019,0.001553,0.007078,0,0.001885,-0.002322,-0.00697,0.000106,-0.001637,-0.000689,-0.003387,0,Turkic
Turkish_Dodecanese,0.097319,0.086828,-0.019987,-0.04199,-0.010156,-0.016455,0.003525,-0.001154,-0.006852,0.006469,0.000244,-0.000674,0.00275,0.003922,-0.013029,-0.003182,-0.007562,0.000443,0.000503,-0.006316,-0.000624,-0.003895,-0.000986,-0.002832,0.002275,0,Turkic
Turkish_Erzurum,0.103124,0.121762,-0.054532,-0.047287,-0.034191,-0.010709,0.004489,-0.005192,-0.036548,-0.007053,0.001526,0.002788,-0.008771,0.002106,-0.002389,-0.006325,-0.000743,0.000798,0.001559,-0.000338,0.003544,-0.00042,-0.001208,-0.00441,-0.002251,0,Turkic
