0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Turkic_Probability,Prediction
Albania_BA_IA:I14688,0.119514,0.160454,0.02225,-0.028101,0.024312,-0.017012,0.00141,-0.001385,-0.001841,0.024237,0.001137,0.008243,-0.019326,-0.003028,-0.007193,-0.016176,-0.008736,0.003674,0.003645,-0.004502,-0.013726,0.009645,-0.001849,0.011809,-0.011855,5.9320087e-08,Not Turkic
Albania_BA_IA:I14690,0.12862,0.146236,0.036958,-0.010982,0.032621,-0.006136,0.00047,0.001846,0.002659,0.018588,0.006171,0.003597,-0.017691,-0.00578,-0.004343,0.00053,0.007171,0.000507,0.004525,-0.00025,-0.012228,0.000247,0.003204,-0.002169,-0.002874,4.5817687e-06,Not Turkic
Albania_BA_IA:I14692,0.126344,0.15436,0.02489,-0.012597,0.022158,-0.001673,-0.007285,0.002077,0.003681,0.028247,0.008282,0.01094,-0.019921,-0.001789,-0.010993,-0.007558,0.008084,-0.00114,0.008799,-0.005753,-0.010731,-0.001607,0.001725,0.01205,0.002155,1.0855328e-08,Not Turkic
Albania_BA_IA:I16251,0.124067,0.141159,0.01697,-0.017119,0.025851,-0.005857,0.00235,0.007615,0.003068,0.023508,0.002436,0.003897,-0.01888,-0.017891,-0.011808,-0.00358,0.008996,-0.004561,0.007793,-0.010005,-0.002995,0.008779,-0.00456,-0.002892,-0.008263,1.2186993e-08,Not Turkic
Albania_BA_IA:I16254,0.117238,0.159438,0.036204,-0.009367,0.030467,-0.013108,0.00799,-0.014076,-0.009204,0.033896,-0.002923,0.002248,-0.018731,-0.006744,-0.013436,-0.005038,0.019297,-0.00038,-0.010936,-0.014257,-0.00574,-0.002473,-0.011955,0.010845,-0.008502,9.907138e-10,Not Turkic
Albania_EarlyModern_oRoma:I13833,0.084229,0.051792,-0.068259,0.020672,-0.02739,0.015618,0.001645,0.001615,0.007567,0.015855,-0.004709,0.002398,0.007582,0.007156,-0.011265,-0.015248,0.001565,0.00228,0.004777,-0.004752,-0.003494,0.00136,0.003204,-0.000361,0.00467,1.5393194e-06,Not Turkic
Albania_EarlyModern_oRoma:I13835,0.087644,0.072103,-0.052797,0.014535,-0.010156,0.008367,-0.00047,0.001615,0.016157,0.016037,0.001137,-0.008093,-0.002379,0.009496,-0.015201,-0.005569,0.012126,-0.005194,0.002765,0.004002,0.007612,0.000866,-0.001602,0.005061,-0.001437,1.6689468e-07,Not Turkic
Albania_EBA_o1:I14689,0.122929,0.118817,0.033564,0.045543,-0.008309,0.01255,0.008225,-0.000462,-0.026384,-0.012392,-0.002273,0.000749,-0.006838,0.002477,0.014251,-0.009679,-0.014212,0.003927,0.010307,-0.00988,-0.010731,-0.003091,0.014666,0.010845,-0.011496,0.00024227443,Not Turkic
Albania_IA:I16253,0.132035,0.156392,0.034695,-0.011628,0.035083,-0.001952,0.00329,0.000692,0.002659,0.031345,0.008607,0.016785,-0.023934,-0.004404,-0.013572,0.000663,0.011865,0.006714,0.011313,-0.010005,-0.007736,-0.000371,-0.002588,0.007832,-0.007784,6.4275e-09,Not Turkic
Albania_LN_C:I13838,0.121791,0.182795,0.0,-0.103683,0.047701,-0.049921,-0.003525,-0.002308,0.033542,0.078544,0.012829,0.013638,-0.023488,0.004404,-0.040852,-0.021347,0.007041,-0.001014,0.009679,-0.014382,-0.007362,0.005564,-0.002835,-0.001566,-0.011855,6.14739e-17,Not Turkic
